,0,1,2,3,4,5
0,592.7854,9.615e-26,0,0,128,160
1,592.7854,9.615e-26,0,0,128,160
2,593.6325,1.038e-25,0,0,128,160
3,593.6325,1.038e-25,0,0,128,160
4,593.8908,9.904e-26,0,0,128,160
5,593.8908,9.904e-26,0,0,128,160
6,594.4765,1.115e-25,0,0,128,160
7,594.4765,1.115e-25,0,0,128,160
8,594.7503,1.0770000000000002e-25,0,0,128,160
9,594.7503,1.0770000000000002e-25,0,0,128,160
10,595.0744,9.385e-26,0,0,128,160
11,595.0744,9.385e-26,0,0,128,160
12,595.6067,1.163e-25,0,0,128,160
13,595.6067,1.163e-25,0,0,128,160
14,595.9457,1.038e-25,0,0,128,160
15,595.9457,1.038e-25,0,0,128,160
16,596.4599,1.26e-25,0,0,128,160
17,596.4599,1.26e-25,0,0,128,160
18,596.8141,1.135e-25,0,0,128,160
19,596.8141,1.135e-25,0,0,128,160
20,597.2235,9.192e-26,0,0,128,160
21,597.2235,9.192e-26,0,0,128,160
22,597.31,1.356e-25,0,0,128,160
23,597.31,1.356e-25,0,0,128,160
24,597.6794,1.2400000000000002e-25,0,0,128,160
25,597.6794,1.2400000000000002e-25,0,0,128,160
26,598.1032,1.0190000000000001e-25,0,0,128,160
27,598.1032,1.0190000000000001e-25,0,0,128,160
28,598.1569999999999,1.462e-25,0,0,128,160
29,598.1569999999999,1.462e-25,0,0,128,160
30,598.5417,1.356e-25,0,0,128,160
31,598.5417,1.356e-25,0,0,128,160
32,598.98,1.135e-25,0,0,128,160
33,598.98,1.135e-25,0,0,128,160
34,599.0008,1.558e-25,0,0,128,160
35,599.0008,1.558e-25,0,0,128,160
36,599.4009,1.471e-25,0,0,128,160
37,599.4009,1.471e-25,0,0,128,160
38,599.8414,1.673e-25,0,0,128,160
39,599.8414,1.673e-25,0,0,128,160
40,599.8538,1.2500000000000001e-25,0,0,128,160
41,599.8538,1.2500000000000001e-25,0,0,128,160
42,600.257,1.587e-25,0,0,128,160
43,600.257,1.587e-25,0,0,128,160
44,600.3675,9.538e-26,0,0,128,160
45,600.3675,9.538e-26,0,0,128,160
46,600.7247,1.385e-25,0,0,128,160
47,600.7247,1.385e-25,0,0,128,160
48,601.11,1.712e-25,0,0,128,160
49,601.11,1.712e-25,0,0,128,160
50,601.2519,1.067e-25,0,0,128,160
51,601.2519,1.067e-25,0,0,128,160
52,601.5927,1.5099999999999999e-25,0,0,128,160
53,601.5927,1.5099999999999999e-25,0,0,128,160
54,601.9599,1.8459999999999998e-25,0,0,128,160
55,601.9599,1.8459999999999998e-25,0,0,128,160
56,602.1336,1.192e-25,0,0,128,160
57,602.1336,1.192e-25,0,0,128,160
58,602.4576,1.654e-25,0,0,128,160
59,602.4576,1.654e-25,0,0,128,160
60,602.8067,1.9810000000000001e-25,0,0,128,160
61,602.8067,1.9810000000000001e-25,0,0,128,160
62,603.0125,1.3270000000000001e-25,0,0,128,160
63,603.0125,1.3270000000000001e-25,0,0,128,160
64,603.3195,1.7979999999999997e-25,0,0,128,160
65,603.3195,1.7979999999999997e-25,0,0,128,160
66,603.6363,9.462e-26,0,0,128,160
67,603.6363,9.462e-26,0,0,128,160
68,603.6503,2.115e-25,0,0,128,160
69,603.6503,2.115e-25,0,0,128,160
70,603.8885,1.471e-25,0,0,128,160
71,603.8885,1.471e-25,0,0,128,160
72,604.1784,1.942e-25,0,0,128,160
73,604.1784,1.942e-25,0,0,128,160
74,604.4907,2.26e-25,0,0,128,160
75,604.4907,2.26e-25,0,0,128,160
76,604.5245,1.067e-25,0,0,128,160
77,604.5245,1.067e-25,0,0,128,160
78,604.7617,1.625e-25,0,0,128,160
79,604.7617,1.625e-25,0,0,128,160
80,605.0342,2.106e-25,0,0,128,160
81,605.0342,2.106e-25,0,0,128,160
82,605.3279,2.404e-25,0,0,128,160
83,605.3279,2.404e-25,0,0,128,160
84,605.4103,1.202e-25,0,0,128,160
85,605.4103,1.202e-25,0,0,128,160
86,605.6321,1.7879999999999998e-25,0,0,128,160
87,605.6321,1.7879999999999998e-25,0,0,128,160
88,605.887,2.269e-25,0,0,128,160
89,605.887,2.269e-25,0,0,128,160
90,606.2934,1.3459999999999999e-25,0,0,128,160
91,606.2934,1.3459999999999999e-25,0,0,128,160
92,606.4995,1.9520000000000002e-25,0,0,128,160
93,606.4995,1.9520000000000002e-25,0,0,128,160
94,606.7366,2.4329999999999995e-25,0,0,128,160
95,606.7366,2.4329999999999995e-25,0,0,128,160
96,607.1739,1.5e-25,0,0,128,160
97,607.1739,1.5e-25,0,0,128,160
98,607.364,2.135e-25,0,0,128,160
99,607.364,2.135e-25,0,0,128,160
100,607.5831,2.606e-25,0,0,128,160
101,607.5831,2.606e-25,0,0,128,160
102,607.9282,1.0190000000000001e-25,0,0,128,160
103,607.9282,1.0190000000000001e-25,0,0,128,160
104,608.0517,1.673e-25,0,0,128,160
105,608.0517,1.673e-25,0,0,128,160
106,608.2255,2.317e-25,0,0,128,160
107,608.2255,2.317e-25,0,0,128,160
108,608.4265,2.7789999999999995e-25,0,0,128,160
109,608.4265,2.7789999999999995e-25,0,0,128,160
110,608.8164,1.154e-25,0,0,128,160
111,608.8164,1.154e-25,0,0,128,160
112,608.9268,1.8459999999999998e-25,0,0,128,160
113,608.9268,1.8459999999999998e-25,0,0,128,160
114,609.0840000000001,2.5000000000000003e-25,0,0,128,160
115,609.0840000000001,2.5000000000000003e-25,0,0,128,160
116,609.2667,2.9620000000000003e-25,0,0,128,160
117,609.2667,2.9620000000000003e-25,0,0,128,160
118,609.7023,1.308e-25,0,0,128,160
119,609.7023,1.308e-25,0,0,128,160
120,609.7992,2.0380000000000002e-25,0,0,128,160
121,609.7992,2.0380000000000002e-25,0,0,128,160
122,609.9395,2.702e-25,0,0,128,160
123,609.9395,2.702e-25,0,0,128,160
124,610.1038,3.1440000000000003e-25,0,0,128,160
125,610.1038,3.1440000000000003e-25,0,0,128,160
126,610.5859,1.471e-25,0,0,128,160
127,610.5859,1.471e-25,0,0,128,160
128,610.6688,2.2309999999999997e-25,0,0,128,160
129,610.6688,2.2309999999999997e-25,0,0,128,160
130,610.7919,2.904e-25,0,0,128,160
131,610.7919,2.904e-25,0,0,128,160
132,610.9376,3.3369999999999997e-25,0,0,128,160
133,610.9376,3.3369999999999997e-25,0,0,128,160
134,611.4671,1.644e-25,0,0,128,160
135,611.4671,1.644e-25,0,0,128,160
136,611.4780000000001,9.269e-26,0,0,128,160
137,611.4781,9.269e-26,0,0,128,160
138,611.5355,2.442e-25,0,0,128,160
139,611.5355,2.442e-25,0,0,128,160
140,611.6413,3.106e-25,0,0,128,160
141,611.6413,3.106e-25,0,0,128,160
142,612.3459,1.8369999999999998e-25,0,0,128,160
143,612.3459,1.8369999999999998e-25,0,0,128,160
144,612.3655,1.058e-25,0,0,128,160
145,612.3656,1.058e-25,0,0,128,160
146,612.3993,2.663e-25,0,0,128,160
147,612.3993,2.663e-25,0,0,128,160
148,612.4875,3.3170000000000003e-25,0,0,128,160
149,612.4875,3.3170000000000003e-25,0,0,128,160
150,613.2222,2.0380000000000002e-25,0,0,128,160
151,613.2222,2.0380000000000002e-25,0,0,128,160
152,613.2514,1.212e-25,0,0,128,160
153,613.2514,1.212e-25,0,0,128,160
154,613.2603,2.8849999999999996e-25,0,0,128,160
155,613.2603,2.8849999999999996e-25,0,0,128,160
156,613.3307,3.529e-25,0,0,128,160
157,613.3307,3.529e-25,0,0,128,160
158,614.0959,2.25e-25,0,0,128,160
159,614.0959,2.25e-25,0,0,128,160
160,614.1183,3.115e-25,0,0,128,160
161,614.1183,3.115e-25,0,0,128,160
162,614.1354,1.365e-25,0,0,128,160
163,614.1355,1.365e-25,0,0,128,160
164,614.1707,3.7499999999999995e-25,0,0,128,160
165,614.1707,3.7499999999999995e-25,0,0,128,160
166,614.923,9.154e-26,0,0,128,160
167,614.923,9.154e-26,0,0,128,160
168,614.9671,2.481e-25,0,0,128,160
169,614.9671,2.481e-25,0,0,128,160
170,614.9734,3.356e-25,0,0,128,160
171,614.9734,3.356e-25,0,0,128,160
172,615.0018,9.346e-26,0,0,128,160
